job	seqlen	epochs	lrate	dropout	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	batchsize	complete	distinct
5204	7	20	0.000175	0.11	"(""10:19:07"", ""12:11:21"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7347844463229078	[0.9508875739644971, 0.9533812341504649, 0.952451394759087, 0.952451394759087, 0.9530008453085376, 0.952028740490279, 0.950211327134404]
5205	7	20	0.000175	0.115	"(""10:19:06"", ""12:09:55"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7346153846153847	[0.9508875739644971, 0.9545224006762468, 0.9518174133558749, 0.9530008453085376, 0.9517328825021133, 0.9519019442096365, 0.948647506339814]
5206	7	20	0.000175	0.12	"(""10:19:10"", ""12:12:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7378275570583263	[0.9529585798816568, 0.9538884192730347, 0.9524936601859679, 0.9516483516483516, 0.9521555367709214, 0.9531276415891801, 0.9497041420118343]
5207	7	20	0.000185	0.1	"(""10:19:09"", ""12:10:58"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6997464074387151	[0.9451394759087067, 0.946407438715131, 0.9435333896872359, 0.9426880811496197, 0.9440828402366864, 0.9436179205409975, 0.9404480135249366]
5208	7	20	0.000185	0.105	"(""10:19:09"", ""12:11:25"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7327979712595097	[0.9516060862214708, 0.9531276415891801, 0.9534234995773457, 0.95156382079459, 0.9509298393913779, 0.9516483516483516, 0.9491546914623837]
5209	7	20	0.000185	0.11	"(""10:19:12"", ""12:10:28"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7333896872358411	[0.9518596787827557, 0.9537193575655114, 0.9509721048182587, 0.9513524936601859, 0.9521978021978021, 0.9526204564666103, 0.9489856297548606]
5210	7	20	0.000185	0.115	"(""10:19:12"", ""12:12:14"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7227387996618766	[0.9494928148774303, 0.9530008453085376, 0.949788672865596, 0.9488165680473373, 0.9495773457311919, 0.9503381234150465, 0.9455621301775148]
5211	7	20	0.000185	0.12	"(""10:19:13"", ""12:10:11"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6997464074387151	[0.9451394759087067, 0.946407438715131, 0.9435333896872359, 0.9426880811496197, 0.9440828402366864, 0.9436179205409975, 0.9404480135249366]
5212	7	20	0.000195	0.1	"(""12:09:58"", ""14:00:33"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7374471682163991	[0.9516060862214708, 0.9527895181741336, 0.952451394759087, 0.9523245984784446, 0.9541842772612004, 0.953592561284869, 0.9515215553677092]
5213	7	20	0.000195	0.105	"(""12:10:12"", ""14:01:27"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7342349957734573	[0.9516060862214708, 0.9531699070160609, 0.9524936601859679, 0.9522823330515638, 0.9532544378698224, 0.9530008453085376, 0.9494928148774303]
5214	7	20	0.000195	0.11	"(""12:10:13"", ""14:01:19"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7350380388841927	[0.951141166525782, 0.9527472527472527, 0.9514370245139476, 0.9518596787827557, 0.9526204564666103, 0.9530008453085376, 0.9501267962806424]
5215	7	20	0.000195	0.115	"(""12:10:31"", ""14:01:45"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7343617920540998	[0.9513524936601859, 0.9525359256128487, 0.9507607776838546, 0.9510566356720203, 0.9524936601859679, 0.9516906170752325, 0.9489010989010989]
5216	7	20	0.000195	0.12	"(""12:11:01"", ""14:02:41"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7393068469991547	[0.9518596787827557, 0.9547337278106509, 0.9535080304311073, 0.9543533389687235, 0.9530853761622993, 0.9517751479289941, 0.9495773457311919]
5217	7	20	0.000205	0.1	"(""12:11:24"", ""14:03:49"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7403212172442941	[0.950676246830093, 0.9547337278106509, 0.9549873203719358, 0.9545646661031276, 0.9536770921386306, 0.9532967032967034, 0.9501690617075232]
5218	7	20	0.000205	0.105	"(""12:11:28"", ""14:03:59"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7364750633981403	[0.9516060862214708, 0.9535080304311073, 0.9515215553677092, 0.9509721048182587, 0.9526204564666103, 0.9533812341504649, 0.949323753169907]
5219	7	20	0.000205	0.11	"(""12:12:09"", ""14:04:54"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7387996618765849	[0.9523668639053254, 0.9538884192730347, 0.9519864750633982, 0.9514792899408284, 0.9529585798816568, 0.9534234995773457, 0.9490278951817414]
5220	7	20	0.000205	0.115	"(""12:12:17"", ""14:05:18"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7330515638207946	[0.9507185122569738, 0.9546069315300084, 0.952028740490279, 0.9503803888419273, 0.9520710059171598, 0.9502958579881656, 0.9486897717666949]
5221	7	20	0.000205	0.12	"(""12:12:33"", ""14:05:23"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.741251056635672	[0.9522823330515638, 0.9540997464074387, 0.9517751479289941, 0.9529585798816568, 0.9530431107354185, 0.9537616229923922, 0.9521555367709214]
5371	7	20	0.00011	0.1	"(""18:48:16"", ""20:40:13"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7071428571428572	[0.9452662721893491, 0.9475908706677938, 0.9453930684699915, 0.9466610312764159, 0.9472527472527472, 0.94687235841082, 0.9443364327979713]
5372	7	20	0.00011	0.2	"(""18:48:17"", ""20:38:39"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6809382924767541	[0.9420118343195266, 0.9418427726120033, 0.9397295012679628, 0.939010989010989, 0.9418005071851225, 0.9418850380388842, 0.937658495350803]
5373	7	20	0.00011	0.3	"(""18:48:20"", ""20:41:02"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6083262890955199	[0.9217244294167372, 0.922865595942519, 0.9237109044801353, 0.9221048182586644, 0.9234995773457312, 0.9241335587489433, 0.9196956889264581]
5374	7	20	0.00011	0.4	"(""18:48:21"", ""20:38:28"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4647083685545224	[0.884065934065934, 0.8837278106508876, 0.8840236686390532, 0.8827134404057481, 0.8842349957734573, 0.8844040574809806, 0.8773034657650042]
5375	7	20	0.00011	0.5	"(""18:48:21"", ""20:40:04"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.244167371090448	[0.7991546914623837, 0.8017751479289941, 0.797971259509721, 0.7966610312764159, 0.7943364327979713, 0.792392223161454, 0.7800929839391378]
5376	7	20	0.00011999999999999999	0.1	"(""18:48:23"", ""20:40:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7109890109890109	[0.9467455621301775, 0.9494928148774303, 0.9468300929839392, 0.9472527472527472, 0.9475908706677938, 0.947971259509721, 0.9454775993237532]
5377	7	20	0.00011999999999999999	0.2	"(""18:48:24"", ""20:40:43"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6922654268808115	[0.9422654268808115, 0.944843617920541, 0.9431530008453085, 0.9425190194420964, 0.9446745562130178, 0.9440828402366864, 0.9409974640743871]
5378	7	20	0.00011999999999999999	0.3	"(""18:48:25"", ""20:39:15"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6200760777683855	[0.9259087066779375, 0.9272189349112426, 0.9261200338123415, 0.9262890955198647, 0.9268385460693153, 0.9264158918005072, 0.9222738799661877]
5379	7	20	0.00011999999999999999	0.4	"(""18:48:28"", ""20:41:27"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.49687235841082	[0.8926458157227388, 0.8948013524936602, 0.8946745562130177, 0.8939983093829248, 0.8953508030431108, 0.8945900253592561, 0.8855874894336433]
5380	7	20	0.00011999999999999999	0.5	"(""18:48:26"", ""20:39:16"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.2833051563820795	[0.815680473372781, 0.8171174978867286, 0.8176246830092984, 0.8178360101437024, 0.81614539306847, 0.8142011834319527, 0.8054099746407438]
5381	7	20	0.00013000000000000002	0.1	"(""20:38:31"", ""22:29:02"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7139898562975486	[0.9471259509721048, 0.9469146238377008, 0.947759932375317, 0.94843617920541, 0.9485629754860524, 0.9469568892645815, 0.9443786982248521]
5382	7	20	0.00013000000000000002	0.2	"(""20:38:42"", ""22:30:30"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6957311918850381	[0.9444632290786137, 0.9453508030431107, 0.9439983093829247, 0.9437447168216399, 0.9443786982248521, 0.9440828402366864, 0.9411665257819104]
5383	7	20	0.00013000000000000002	0.3	"(""20:39:18"", ""22:30:16"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6316568047337278	[0.9285714285714286, 0.9308960270498732, 0.9283178360101437, 0.9270076077768385, 0.9299661876584954, 0.9292899408284023, 0.9245562130177515]
5384	7	20	0.00013000000000000002	0.4	"(""20:39:19"", ""22:30:15"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.527134404057481	[0.9018174133558748, 0.9031699070160608, 0.9025781910397295, 0.901352493660186, 0.9032121724429417, 0.9043533389687236, 0.8967455621301775]
5385	7	20	0.00013000000000000002	0.5	"(""20:40:13"", ""22:32:09"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.30874894336432795	[0.8278951817413356, 0.8281065088757397, 0.8263313609467455, 0.8258664412510567, 0.8250633981403213, 0.8246407438715131, 0.8113693998309383]
