job	seqlen	epochs	lrate	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	complete	distinct
2497	7	32	0.00056	"(""17:39:11"", ""23:58:50"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7647637453564939	[0.9456087766603789, 0.9549362928330883, 0.9551214544444573, 0.956961497957436, 0.9560819803034336, 0.9566143199361192, 0.8134149587436784]
2498	7	32	0.00064	"(""17:39:11"", ""23:54:53"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7583062341600028	[0.944115911168717, 0.9528647973058986, 0.9533971369385842, 0.9541377833840599, 0.9542766545925866, 0.9541146381826388, 0.8116443508349631]
2499	7	32	0.0006799999999999999	"(""20:56:45"", ""03:12:19"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7484579509553182	[0.9409913089768663, 0.9515918112277372, 0.9527953617016353, 0.9543576627975605, 0.9535938711506637, 0.9531078219208202, 0.8100357593361956]
2500	7	32	0.00072	"(""20:58:39"", ""03:14:04"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7463054472231545	[0.9417435280230526, 0.9504576963581025, 0.9521935864646862, 0.953559153348532, 0.9536980245570587, 0.9532582657300576, 0.8106143893717235]
2501	7	32	0.0007599999999999999	"(""21:03:52"", ""03:27:08"")"	t-in_voc	t-out	512	8	3	3	transformer	0.005381259330409322	[0.30592169978359235, 0.16435407529134022, 0.10109823980743192, 0.07090532455358693, 0.05800187476131511, 0.05574521762275636, 0.06603325965444214]
2593	7	32	0.000728	"(""10:49:31"", ""17:08:24"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7306130006596382	[0.9353670250315353, 0.9478770063996482, 0.9479580146046221, 0.9500410827325225, 0.9503998333545498, 0.9502841073474442, 0.8095034197035099]
2594	7	32	0.000734	"(""10:49:31"", ""17:05:00"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7279165846940783	[0.9369987617317239, 0.9465924477207763, 0.9473909571698048, 0.9484440638344656, 0.9489416856650195, 0.9493698718913102, 0.8090173704736665]
2595	7	32	0.0007379999999999999	"(""11:16:05"", ""17:38:16"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7439562092789113	[0.9410723171818403, 0.9508627373829721, 0.9516033838284478, 0.9525639096874241, 0.9522861672703706, 0.9512909236092627, 0.8075360775827152]
2596	7	32	0.00074	"(""11:16:06"", ""17:29:56"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7395239032067676	[0.9396373146937311, 0.9496013239055213, 0.9502493895453126, 0.9517191098355533, 0.951753827637685, 0.9512909236092627, 0.810602816771013]
2597	7	32	0.000742	"(""17:05:03"", ""23:19:52"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7061253775560982	[0.9273819305412505, 0.9424726018678178, 0.9435951441367418, 0.9459443820809851, 0.9451805904340883, 0.945134300031246, 0.8051752670377614]
2598	7	32	0.000746	"(""17:08:27"", ""23:29:15"")"	t-in_voc	t-out	512	8	3	3	transformer	0.041152168126743126	[0.6109407367117612, 0.42705211142099964, 0.302739234588189, 0.23140572380831145, 0.19168855816967748, 0.1768293388573214, 0.17068428788001527]
2599	7	32	0.000752	"(""17:29:59"", ""23:46:23"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7246762564951221	[0.9347189593917441, 0.9467081737278819, 0.9471016421520408, 0.9483167652266494, 0.9488722500607562, 0.9486986610500978, 0.8091562416821932]
